"entry_id","contest_id","contest_name","PG","PG","SG","SG","SF","SF","PF","PF","C","","Instructions"
"1563170088","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1563170076","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","","","","29270-58461:Trey Lyles","29270-58461","PF","Trey","Trey Lyles","Lyles","10.75","2","4700","GS@DEN","DEN","GS","","","","",""
"","","","","","","","","","","","","","29270-41082:Damian Jones","29270-41082","C","Damian","Damian Jones","Jones","23.950000762939453","2","4600","GS@DEN","GS","DEN","","","","",""
"","","","","","","","","","","","","","29270-20640:Jordan Clarkson","29270-20640","SG","Jordan","Jordan Clarkson","Clarkson","23.450000762939453","2","4500","ATL@CLE","CLE","ATL","","","","",""
"","","","","","","","","","","","","","29270-23776:Montrezl Harrell","29270-23776","PF","Montrezl","Montrezl Harrell","Harrell","15.399999618530273","2","4500","HOU@LAC","LAC","HOU","","","","",""
"","","","","","","","","","","","","","29270-12334:Avery Bradley","29270-12334","SG","Avery","Avery Bradley","Bradley","13.899999618530273","2","4400","HOU@LAC","LAC","HOU","","","","",""
"","","","","","","","","","","","","","29270-14501:Tristan Thompson","29270-14501","C","Tristan","Tristan Thompson","Thompson","23.549999237060547","2","4400","ATL@CLE","CLE","ATL","","","","",""
"","","","","","","","","","","","","","29270-84680:Shai Gilgeous-Alexander","29270-84680","PG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","16","2","4400","HOU@LAC","LAC","HOU","","","","",""
"","","","","","","","","","","","","","29270-12443:Jeremy Lin","29270-12443","PG","Jeremy","Jeremy Lin","Lin","14.949999809265137","2","4300","ATL@CLE","ATL","CLE","","","","",""
"","","","","","","","","","","","","","29270-9661:Marcin Gortat","29270-9661","C","Marcin","Marcin Gortat","Gortat","18.049999237060547","2","4300","HOU@LAC","LAC","HOU","","","","",""
"","","","","","","","","","","","","","29270-84667:Collin Sexton","29270-84667","PG","Collin","Collin Sexton","Sexton","13.25","2","4200","ATL@CLE","CLE","ATL","","","","",""
