"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"30347-14516","C","Enes","Enes Kanter","Kanter","32.26666598849826","18","6500","NY@BOS","NY","BOS","","","","",""
"30347-12366","SF","Gordon","Gordon Hayward","Hayward","24.087499618530273","16","6400","NY@BOS","BOS","NY","","","","",""
"30347-9475","PG","Derrick","Derrick Rose","Rose","30.84666748046875","15","6400","DEN@MIN","MIN","DEN","","","","",""
"30347-23572","SF","Taurean","Taurean Prince","Prince","27.435714721679688","14","6300","TOR@ATL","ATL","TOR","","","","",""
"30347-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","25.827777438693577","18","6300","BKN@DAL","BKN","DAL","","","","",""
"30347-15559","SG","Jeremy","Jeremy Lamb","Lamb","26.0625","16","6300","IND@CHA","CHA","IND","","","","",""
"30347-66048","PF","Brandon","Brandon Ingram","Ingram","26.23333231608073","12","6300","LAL@CLE","LAL","CLE","","","","",""
"30347-42550","SF","Jabari","Jabari Parker","Parker","26.05294081744026","17","6200","PHO@CHI","CHI","PHO","","","","",""
"30347-14501","C","Tristan","Tristan Thompson","Thompson","27.673333740234376","15","6100","LAL@CLE","CLE","LAL","","","","",""
"30347-19781","SG","Kent","Kent Bazemore","Bazemore","27.935293758616726","17","6100","TOR@ATL","ATL","TOR","","","","",""
"30347-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","25.440000406901042","15","6100","BKN@DAL","DAL","BKN","GTD","Wrist","","",""
"30347-40201","SG","Dennis","Dennis Schroder","Schroder","31.818750381469727","16","6000","OKC@GS","OKC","GS","","","","",""
"30347-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","23.369229830228367","13","6000","LAL@CLE","CLE","LAL","","","","",""
"30347-9739","C","JaVale","JaVale McGee","McGee","32.025001525878906","16","6000","LAL@CLE","LAL","CLE","","","","",""
"30347-84667","PG","Collin","Collin Sexton","Sexton","19.440000406901042","15","6000","LAL@CLE","CLE","LAL","","","","",""
"30347-58253","C","Myles","Myles Turner","Turner","26.88235294117647","17","6000","IND@CHA","IND","CHA","","","","",""
"30347-9577","SF","Rudy","Rudy Gay","Gay","28.316665649414062","12","5900","MEM@SA","SA","MEM","","","","",""
"30347-9729","PF","Paul","Paul Millsap","Millsap","28.717647776884192","17","5900","DEN@MIN","DEN","MIN","","","","",""
"30347-15946","SF","Harrison","Harrison Barnes","Barnes","24.90833282470703","12","5900","BKN@DAL","DAL","BKN","","","","",""
"30347-23716","SF","Kyle","Kyle Anderson","Anderson","22.131250381469727","16","5800","MEM@SA","MEM","SA","","","","",""
"30347-9692","SF","Tyreke","Tyreke Evans","Evans","20.799999237060547","16","5800","IND@CHA","IND","CHA","","","","",""
"30347-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","21","14","5700","BKN@DAL","BKN","DAL","","","","",""
"30347-84679","PF","Marvin","Marvin Bagley III","Bagley III","23.488234576056986","17","5700","SAC@UTA","SAC","UTA","","","","",""
"30347-59318","SF","Joe","Joe Ingles","Ingles","26.58235258214614","17","5700","SAC@UTA","UTA","SAC","","","","",""
"30347-12351","PF","Derrick","Derrick Favors","Favors","25.59375","16","5600","SAC@UTA","UTA","SAC","","","","",""
"30347-20640","SG","Jordan","Jordan Clarkson","Clarkson","23.04000040690104","15","5600","LAL@CLE","CLE","LAL","","","","",""
"30347-15582","PG","Quinn","Quinn Cook","Cook","16.333333333333332","15","5600","OKC@GS","GS","OKC","","","","",""
"30347-9621","C","Brook","Brook Lopez","Lopez","24.174999237060547","16","5600","POR@MIL","MIL","POR","","","","",""
"30347-9809","SF","Nicolas","Nicolas Batum","Batum","24.487499237060547","16","5600","IND@CHA","CHA","IND","","","","",""
"30347-80806","PG","Lonzo","Lonzo Ball","Ball","23.237499237060547","16","5600","LAL@CLE","LAL","CLE","","","","",""
"30347-58377","PF","Kyle","Kyle Kuzma","Kuzma","26.637500762939453","16","5500","LAL@CLE","LAL","CLE","","","","",""
"30347-14554","SF","E'Twaun","E'Twaun Moore","Moore","23.941176470588236","17","5500","NO@PHI","NO","PHI","","","","",""
"30347-16604","SG","Justin","Justin Holiday","Holiday","25.229411405675553","17","5500","PHO@CHI","CHI","PHO","","","","",""
"30347-9655","SG","JJ","JJ Redick","Redick","25.415789152446546","19","5500","NO@PHI","PHI","NO","","","","",""
"30347-9703","PG","George","George Hill","Hill","21.08000030517578","10","5400","LAL@CLE","CLE","LAL","O","Shoulder","","",""
"30347-14503","C","Jonas","Jonas Valanciunas","Valanciunas","26.02222188313802","18","5300","TOR@ATL","TOR","ATL","","","","",""
"30347-70822","SF","Juancho","Juancho Hernangomez","Hernangomez","17.681249618530273","16","5300","DEN@MIN","DEN","MIN","","","","",""
