"","","","","","","","","","","","","","29261-9577:Rudy Gay","29261-9577","SF","Rudy","Rudy Gay","Gay","28.399999618530273","1","6300","SA@POR","SA","POR","","","","",""
"","","","","","","","","","","","","","29261-58253:Myles Turner","29261-58253","C","Myles","Myles Turner","Turner","23.450000762939453","2","6300","BKN@IND","IND","BKN","","","","",""
"","","","","","","","","","","","","","29261-80806:Lonzo Ball","29261-80806","PG","Lonzo","Lonzo Ball","Ball","15.300000190734863","1","6300","HOU@LAL","LAL","HOU","","","","",""
"","","","","","","","","","","","","","29261-84669:Luka Doncic","29261-84669","SG","Luka","Luka Doncic","Doncic","21.600000381469727","1","6200","MIN@DAL","DAL","MIN","","","","",""
"","","","","","","","","","","","","","29261-24544:Gary Harris","29261-24544","SG","Gary","Gary Harris","Harris","26.600000381469727","1","6200","PHO@DEN","DEN","PHO","","","","",""
"","","","","","","","","","","","","","29261-42550:Jabari Parker","29261-42550","SF","Jabari","Jabari Parker","Parker","23.5","1","6100","DET@CHI","CHI","DET","","","","",""
"","","","","","","","","","","","","","29261-14523:Reggie Jackson","29261-14523","PG","Reggie","Reggie Jackson","Jackson","28.399999618530273","1","6100","DET@CHI","DET","CHI","","","","",""
"","","","","","","","","","","","","","29261-23096:Evan Fournier","29261-23096","SG","Evan","Evan Fournier","Fournier","19.899999618530273","2","6000","ORL@PHI","ORL","PHI","","","","",""
"","","","","","","","","","","","","","29261-66108:Jamal Murray","29261-66108","PG","Jamal","Jamal Murray","Murray","19.5","1","6000","PHO@DEN","DEN","PHO","","","","",""
"","","","","","","","","","","","","","29261-58377:Kyle Kuzma","29261-58377","PF","Kyle","Kyle Kuzma","Kuzma","23","1","5900","HOU@LAL","LAL","HOU","","","","",""
"","","","","","","","","","","","","","29261-14503:Jonas Valanciunas","29261-14503","C","Jonas","Jonas Valanciunas","Valanciunas","16.450000762939453","2","5900","TOR@WAS","TOR","WAS","","","","",""
"","","","","","","","","","","","","","29261-42156:Bobby Portis","29261-42156","PF","Bobby","Bobby Portis","Portis","42.20000076293945","1","5900","DET@CHI","CHI","DET","","","","",""
"","","","","","","","","","","","","","29261-80809:Josh Jackson","29261-80809","PF","Josh","Josh Jackson","Jackson","24.899999618530273","1","5900","PHO@DEN","PHO","DEN","","","","",""
"","","","","","","","","","","","","","29261-12337:Greg Monroe","29261-12337","C","Greg","Greg Monroe","Monroe","23.96078431372549","51","5800","TOR@WAS","TOR","WAS","","","","",""
"","","","","","","","","","","","","","29261-9966:James Johnson","29261-9966","PF","James","James Johnson","Johnson","25.446575008026542","73","5800","CHA@MIA","MIA","CHA","O","Abdomen","","",""
"","","","","","","","","","","","","","29261-59358:Domantas Sabonis","29261-59358","PF","Domantas","Domantas Sabonis","Sabonis","31.299999237060547","2","5800","BKN@IND","IND","BKN","O","Ankle","","",""
"","","","","","","","","","","","","","29261-15843:Trey Burke","29261-15843","PG","Trey","Trey Burke","Burke","22.799999237060547","2","5800","BOS@NY","NY","BOS","","","","",""
"","","","","","","","","","","","","","29261-9787:DeMarre Carroll","29261-9787","SF","DeMarre","DeMarre Carroll","Carroll","26.60684998394692","73","5700","BKN@IND","BKN","IND","O","Ankle","","",""
"","","","","","","","","","","","","","29261-9957:Serge Ibaka","29261-9957","PF","Serge","Serge Ibaka","Ibaka","32.54999923706055","2","5700","TOR@WAS","TOR","WAS","","","","",""
"","","","","","","","","","","","","","29261-55056:Dario Saric","29261-55056","PF","Dario","Dario Saric","Saric","20.600000381469727","2","5700","ORL@PHI","PHI","ORL","","","","",""
"","","","","","","","","","","","","","29261-9556:Eric Gordon","29261-9556","SG","Eric","Eric Gordon","Gordon","26.100000381469727","1","5700","HOU@LAL","HOU","LAL","","","","",""
"","","","","","","","","","","","","","29261-15542:Spencer Dinwiddie","29261-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","27.200000762939453","2","5600","BKN@IND","BKN","IND","","","","",""
"","","","","","","","","","","","","","29261-80816:Malik Monk","29261-80816","SG","Malik","Malik Monk","Monk","24.5","2","5600","CHA@MIA","CHA","MIA","","","","",""
"","","","","","","","","","","","","","29261-80805:Markelle Fultz","29261-80805","SG","Markelle","Markelle Fultz","Fultz","20.450000762939453","2","5500","ORL@PHI","PHI","ORL","","","","",""
"","","","","","","","","","","","","","29261-12342:Al-Farouq Aminu","29261-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","14.199999809265137","1","5400","SA@POR","POR","SA","","","","",""
"","","","","","","","","","","","","","29261-63123:Mario Hezonja","29261-63123","SF","Mario","Mario Hezonja","Hezonja","15.399999618530273","2","5400","BOS@NY","NY","BOS","","","","",""
"","","","","","","","","","","","","","29261-9570:Pau Gasol","29261-9570","C","Pau","Pau Gasol","Gasol","21.399999618530273","1","5300","SA@POR","SA","POR","","","","",""
