Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Doug McDermott,3500,IND,SF,@ CHI,,15.00,33.79,10,200.5,-250,103.5,-0.5,17.65,8.83,8.83,2.52
Ryan Arcidiacono,3600,CHI,PG,IND,,14.00,35.51,4,200.5,210,97,-1,15.46,7.39,8.52,2.37
Joakim Noah,3500,MEM,C,BKN,,10.00,63.61,30,203.5,-175,103.75,103.75,14.08,7.51,8.26,2.36
Dirk Nowitzki,3500,DAL,PF,@ BOS,,10.00,50.46,5,212.5,150,104.25,104.25,11.93,6.81,8.23,2.35
Thabo Sefolosha,3500,UTA,SF,@ CLE,,11.00,38.51,24,208.5,-500,109.25,1,12.25,6.86,8.13,2.32
Hamidou Diallo,3500,OKC,SG,@ POR,,11.00,38.60,24,224,-105,111.5,-0.25,7.94,1.45,7.85,2.24
Troy Brown,3500,WAS,SF,@ MIA,,10.00,36.82,17,212,210,102.75,-1,7.94,1.83,7.5,2.14
Abdel Nader,3500,OKC,SF,@ POR,,11.00,39.71,27,224,-105,111.5,-0.25,14.71,7.43,7.43,2.12
Royce O'Neale,3500,UTA,SF,@ CLE,,10.00,38.51,24,208.5,-500,109.25,1,10.92,5.49,7.39,2.11
Nik Stauskas,3500,POR,SG,OKC,,10.00,40.46,28,224,-111,112.5,-0.25,11.70,5.63,7.22,2.06
Patrick Patterson,3500,OKC,PF,@ POR,,11.00,51.81,8,224,-105,111.5,-0.25,12.58,6.01,7.1,2.03
Sviatoslav Mykhailiuk,3500,LAL,SG,NYK,,10.00,39.82,28,222,-214,113.75,113.75,7.61,1.61,7.01,2
Wes Iwundu,3500,ORL,SF,@ MIN,,13.00,39.26,26,214,150,105,105,13.83,6.92,6.92,1.98
Dion Waiters,4300,MIA,SG,WAS,,10.00,42.58,7,212,-250,109.25,-1.5,13.50,6.47,8.14,1.89
Boban Marjanovic,3500,LAC,C,@ PHO,,4.00,60.89,29,234.5,-188,119.5,1.5,10.36,0.93,5.3,1.51
Ivica Zubac,3700,LAL,C,NYK,,6.00,57.54,25,222,-214,113.75,113.75,8.82,4.50,5.55,1.5
D.J. Wilson,3500,MIL,PF,ATL,,4.00,51.58,27,230,-1000,121.75,-0.5,7.82,3.44,4.05,1.16
Omri Casspi,3500,MEM,SF,BKN,,4.00,31.63,2,203.5,-175,103.75,103.75,5.87,2.80,3.34,0.95
Jerryd Bayless,3500,MIN,PG,ORL,,5.00,46.64,19,214,-160,109,109,5.51,3.20,3.2,0.91
Elie Okobo,3500,PHO,PG,LAC,,4.00,43.55,24,234.5,163,115,1,2.84,0.51,2.8,0.8
Dwight Powell,3900,DAL,PF,@ BOS,,3.00,50.46,5,212.5,150,104.25,104.25,4.65,2.39,3.02,0.77
Jaron Blossomgame,3500,CLE,SF,UTA,,4.00,29.90,1,208.5,400,99.25,-0.5,2.68,0.48,2.64,0.75
Justin Anderson,3500,ATL,SG,@ MIL,,3.00,39.17,25,230,700,108.25, ,3.66,1.78,2.3,0.66
