"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"29725-66455","PF","Henry","Henry Ellenson","Ellenson","10.600000381469727","1","3600","MIA@DET","DET","MIA","","","","",""
"29725-15771","C","Gorgui","Gorgui Dieng","Dieng","16.63000030517578","10","3600","MIN@LAC","MIN","LAC","","","","",""
"29725-9643","PG","Shaun","Shaun Livingston","Livingston","12.699999809265137","4","3600","MEM@GS","GS","MEM","O","Foot","","",""
"29725-9647","SF","Thabo","Thabo Sefolosha","Sefolosha","0","1","3600","TOR@UTA","UTA","TOR","","","","",""
"29725-9661","C","Marcin","Marcin Gortat","Gortat","13.600000381469727","8","3600","MIN@LAC","LAC","MIN","GTD","Undisclosed","","",""
"29725-18376","SG","Damion","Damion Lee","Lee","0","1","3600","MEM@GS","GS","MEM","","","","",""
"29725-15843","PG","Trey","Trey Burke","Burke","17.61999969482422","10","3600","CHI@NY","NY","CHI","","","","",""
"29725-17384","C","Kyle","Kyle O'Quinn","O'Quinn","11.65000025431315","6","3600","HOU@IND","IND","HOU","","","","",""
"29725-66046","SG","Luke","Luke Kennard","Kennard","10.833333333333334","3","3600","MIA@DET","DET","MIA","O","Shoulder","","",""
"29725-66064","SG","Malik","Malik Beasley","Beasley","11.144444783528646","9","3500","BOS@DEN","DEN","BOS","","","","",""
"29725-85523","PG","Jordan","Jordan Loyd","Loyd","1.2000000476837158","1","3500","TOR@UTA","TOR","UTA","","","","",""
"29725-97299","SG","Zach","Zach Lofton","Lofton","2","1","3500","MIA@DET","DET","MIA","","","","",""
"29725-85522","SG","DeVaughn","DeVaughn Akoon-Purcell","Akoon-Purcell","1.3999999364217122","3","3500","BOS@DEN","DEN","BOS","","","","",""
"29725-59416","SG","John","John Holland","Holland","0","1","3500","CLE@ORL","CLE","ORL","","","","",""
"29725-48668","PG","Troy","Troy Caupain","Caupain","0","0","3500","CLE@ORL","ORL","CLE","","","","",""
"29725-23581","PF","Amile","Amile Jefferson","Jefferson","0","0","3500","CLE@ORL","ORL","CLE","","","","",""
"29725-37931","C","Aron","Aron Baynes","Baynes","13.633333841959635","6","3500","BOS@DEN","BOS","DEN","","","","",""
"29725-12337","C","Greg","Greg Monroe","Monroe","3.2333332697550454","3","3500","TOR@UTA","TOR","UTA","","","","",""
"29725-12339","C","Ekpe","Ekpe Udoh","Udoh","4.616666793823242","6","3500","TOR@UTA","UTA","TOR","","","","",""
"29725-12340","PF","Patrick","Patrick Patterson","Patterson","13.9375","8","3500","NO@OKC","OKC","NO","","","","",""
"29725-15417","SF","Solomon","Solomon Hill","Hill","10.675000190734863","8","3500","NO@OKC","NO","OKC","","","","",""
"29725-66104","PG","Isaiah","Isaiah Briscoe","Briscoe","4.724999904632568","4","3500","CLE@ORL","ORL","CLE","","","","",""
"29725-12348","SF","Wesley","Wesley Johnson","Johnson","9.133333206176758","3","3500","NO@OKC","NO","OKC","","","","",""
"29725-12362","C","DeMarcus","DeMarcus Cousins","Cousins","53.335418701171875","48","3500","MEM@GS","GS","MEM","O","Achilles","","",""
"29725-23121","PF","Tyler","Tyler Cavanaugh","Cavanaugh","10.279487022986778","39","3500","TOR@UTA","UTA","TOR","","","","",""
"29725-85587","C","Tyler","Tyler Davis","Davis","0","0","3500","NO@OKC","OKC","NO","","","","",""
"29725-85586","PF","Marcus","Marcus Derrickson","Derrickson","0","0","3500","MEM@GS","GS","MEM","","","","",""
"29725-15964","PG","Lorenzo","Lorenzo Brown","Brown","7.085714067731585","7","3500","TOR@UTA","TOR","UTA","","","","",""
"29725-58463","PG","Tyler","Tyler Ulis","Ulis","0","1","3500","CHI@NY","CHI","NY","","","","",""
"29725-15975","SG","C.J.","C.J. Williams","Williams","2.424999952316284","4","3500","MIN@LAC","MIN","LAC","","","","",""
"29725-68203","PF","Chris","Chris Boucher","Boucher","11.399999618530273","1","3500","TOR@UTA","TOR","UTA","","","","",""
"29725-85105","PF","Billy","Billy Preston","Preston","0","0","3500","CLE@ORL","CLE","ORL","","","","",""
"29725-23155","SG","Naz","Naz Mitrou-Long","Mitrou-Long","3","1","3500","TOR@UTA","UTA","TOR","","","","",""
"29725-85106","SG","Deonte","Deonte Burton","Burton","3.066666603088379","3","3500","NO@OKC","OKC","NO","","","","",""
"29725-23156","PF","Georges","Georges Niang","Niang","8.077777438693577","9","3500","TOR@UTA","UTA","TOR","","","","",""
"29725-41077","SG","Sindarius","Sindarius Thornwell","Thornwell","9.863013698630137","73","3500","MIN@LAC","LAC","MIN","","","","",""
"29725-24186","SG","Tyrone","Tyrone Wallace","Wallace","2.1499999364217124","6","3500","MIN@LAC","LAC","MIN","","","","",""
"29725-41082","C","Damian","Damian Jones","Jones","15.36999969482422","10","3500","MEM@GS","GS","MEM","","","","",""
"29725-67707","PF","Marquese","Marquese Chriss","Chriss","4.199999809265137","2","3500","HOU@IND","HOU","IND","","","","",""
"29725-41083","PF","Luke","Luke Kornet","Kornet","0.5","4","3500","CHI@NY","NY","CHI","","","","",""
"29725-41597","PF","Johnathan","Johnathan Motley","Motley","15.5727275501598","11","3500","MIN@LAC","LAC","MIN","","","","",""
